mandal,date,rainfall,temp_min,temp_max,humidity_min,humidity_max,wind_speed_min,wind_speed_max
Shaikpet,01-01-2018,0.0,17.4,30.3,40.6,85.0,0.0,4.8
Shaikpet,02-01-2018,0.0,19.4,31.6,37.5,74.9,0.0,8.5
Shaikpet,03-01-2018,0.0,19.3,29.9,43.8,86.4,0.0,8.0
Shaikpet,04-01-2018,0.0,18.2,29.3,41.6,80.9,0.0,7.0
Shaikpet,05-01-2018,0.0,17.1,28.0,42.9,71.2,0.0,11.2
Shaikpet,06-01-2018,0.0,15.9,29.3,37.5,76.8,0.0,7.3
Shaikpet,07-01-2018,0.0,17.2,29.9,35.5,74.4,0.0,7.1
Shaikpet,08-01-2018,0.0,16.9,27.89,40.9,74.6,0.0,10.3
Shaikpet,09-01-2018,0.0,17.3,26.7,42.7,81.6,0.0,9.8
Shaikpet,10-01-2018,0.0,17.4,26.4,51.2,77.8,0.0,13.2
Shaikpet,11-01-2018,0.0,17.9,29.1,49.2,71.9,0.0,10.3
Shaikpet,12-01-2018,0.0,18.4,31.1,46.4,75.6,0.0,6.6
Shaikpet,13-01-2018,0.0,19.4,31.7,38.8,71.4,0.0,9.9
Shaikpet,14-01-2018,0.0,18.2,31.1,37.1,71.6,0.0,10.6
Shaikpet,15-01-2018,0.0,20.3,30.7,44.7,85.0,0.0,12.2
Shaikpet,16-01-2018,0.0,19.3,31.8,40.0,82.6,0.0,1.6
Shaikpet,17-01-2018,0.0,19.8,32.1,34.8,74.1,0.0,8.4
Shaikpet,18-01-2018,0.0,17.7,30.0,41.7,82.0,0.0,9.9
Shaikpet,19-01-2018,0.0,17.9,29.1,40.4,75.7,0.0,10.6
Shaikpet,20-01-2018,0.0,15.7,30.0,30.3,76.9,0.0,11.4
Shaikpet,21-01-2018,0.0,16.0,30.8,29.0,81.0,0.0,4.1
Shaikpet,22-01-2018,0.0,17.5,28.3,40.1,79.9,0.0,10.7
Shaikpet,23-01-2018,0.0,18.0,30.1,35.8,78.6,0.0,10.0
Shaikpet,24-01-2018,0.0,19.1,31.5,39.4,80.4,0.0,6.0
Shaikpet,25-01-2018,0.0,17.8,30.7,40.3,74.7,0.0,7.6
Shaikpet,26-01-2018,0.0,18.6,32.2,35.3,68.8,0.0,5.6
Shaikpet,27-01-2018,0.0,16.3,30.1,33.5,76.4,0.0,9.0
Shaikpet,28-01-2018,0.0,18.5,29.9,35.2,74.7,0.0,6.5
Shaikpet,29-01-2018,0.0,18.9,31.0,39.0,82.6,0.0,11.4
Shaikpet,30-01-2018,0.0,16.0,28.8,43.7,73.8,0.0,10.5
Shaikpet,31-01-2018,0.0,16.6,29.6,30.3,64.2,0.0,15.1
Shaikpet,01-02-2018,0.0,15.7,30.2,25.9,63.2,0.0,14.6
Shaikpet,02-02-2018,0.0,16.3,31.0,26.0,63.7,0.0,10.6
Shaikpet,03-02-2018,0.0,16.5,31.3,25.2,60.2,0.0,8.4
Shaikpet,04-02-2018,0.0,18.1,30.7,28.7,51.5,0.0,10.8
Shaikpet,05-02-2018,0.0,18.2,30.5,31.1,68.4,0.0,9.1
Shaikpet,06-02-2018,0.0,17.5,30.0,33.0,81.2,0.0,14.8
Shaikpet,07-02-2018,0.0,18.5,29.3,22.6,70.0,0.0,12.2
Shaikpet,08-02-2018,0.0,19.8,29.0,34.4,65.5,0.0,4.6
Shaikpet,09-02-2018,0.0,20.6,34.3,32.7,70.6,0.0,5.2
Shaikpet,10-02-2018,0.0,20.5,32.3,33.5,72.1,0.0,6.0
Shaikpet,11-02-2018,0.0,21.3,29.4,48.9,71.4,0.0,12.0
